,label,ht_in,wt,arm_in,wing_in,c_reps,c_10y,c_40y,c_vj_in,c_bj_in,c_3c,c_ss20,est_40y,underclassman,athleticism_score,production_score,final_score,imp_grade,conf_Group of 5,conf_Power 5
39,DET_Brad Holmes,73.425,233.36,31.955,77.215,3.08,0.8832000000000001,2.5907999999999998,20.2,68.08,1.4072,0.8576,4.64,0.2,76.68520000000001,74.5328,76.3496,6.1716,0.0,1.0
40,DET_Martin Mayhew,73.94318181818181,244.36363636363637,32.52840909090909,52.80681818181818,17.931818181818183,1.5511363636363635,4.3225,30.204545454545453,107.5909090909091,5.576818181818182,3.3227272727272723,0.21318181818181817,0.0,66.79863636363636,70.1475,71.19772727272726,6.077954545454546,0.11363636363636363,0.7045454545454546
41,DET_Matt Millen,73.96283783783784,244.16216216216216,32.15878378378378,0.0,13.972972972972974,1.0056756756756757,2.9143243243243244,22.60810810810811,77.94594594594595,4.107297297297297,2.4886486486486485,0.4848648648648649,0.0,68.89945945945946,67.31297297297297,70.27432432432433,6.091621621621622,0.10810810810810811,0.7567567567567568
42,GB_Brian Gutekunst,74.53333333333333,247.13333333333333,32.34791666666667,77.98125,9.4,1.1260000000000001,3.283666666666667,24.341666666666665,85.41666666666667,2.7565000000000004,1.8135000000000001,3.5036666666666667,0.06666666666666667,73.47233333333334,67.70366666666666,70.81016666666666,6.025,0.08333333333333333,0.85
43,GB_Mike Sherman,75.15,273.3,32.6,0.0,17.7,1.358,3.905,26.6,90.3,5.286,3.126,0.0,0.0,68.569,59.90599999999999,66.312,6.019,0.1,0.8
44,GB_Ted Thompson,74.03969387755103,246.9387755102041,32.24494897959184,39.9490306122449,16.122448979591837,1.5412244897959182,4.371326530612245,29.93877551020408,100.34693877551021,5.716326530612245,3.5642857142857145,0.10224489795918366,0.0,69.7330612244898,67.16908163265306,70.06714285714285,6.013469387755102,0.12244897959183673,0.7244897959183674
45,HOU_Bill O'Brien,75.31818181818181,257.27272727272725,32.85227272727273,78.61363636363636,14.181818181818182,1.492727272727273,4.319090909090909,33.27272727272727,105.36363636363636,6.814545454545454,4.066363636363636,2.199090909090909,0.0,73.19181818181818,70.60181818181819,73.08636363636364,6.088181818181818,0.2727272727272727,0.5454545454545454
46,HOU_Brian Gaine,74.44642857142857,246.57142857142858,33.035714285714285,67.46428571428571,12.714285714285714,0.9057142857142857,2.5914285714285716,18.857142857142858,67.57142857142857,4.03,2.487142857142857,0.0,0.0,74.56142857142858,67.5942857142857,71.56142857142856,5.9957142857142856,0.0,1.0
47,HOU_Charlie Casserly,73.45138888888889,237.44444444444446,32.00694444444444,0.0,12.11111111111111,1.001111111111111,2.876666666666667,26.444444444444443,90.05555555555556,4.395,2.5838888888888887,0.5222222222222223,0.0,74.92888888888889,68.50722222222221,73.055,6.046666666666667,0.05555555555555555,0.7222222222222222
48,HOU_Nick Caserio,74.03333333333333,240.46666666666667,32.34583333333333,77.54583333333333,7.0,0.9283333333333333,2.7153333333333336,14.983333333333333,57.0,1.7023333333333333,1.6766666666666667,4.726,0.23333333333333334,69.01666666666667,71.54633333333332,71.537,6.072666666666667,0.0,0.9666666666666667
49,HOU_Rick Smith,73.87211764705883,247.83529411764707,32.45758823529412,44.75164705882353,16.776470588235295,1.5083529411764707,4.333647058823529,28.32941176470588,98.92941176470588,5.666588235294118,3.500588235294118,0.0,0.0,68.99894117647058,67.25094117647059,70.21976470588235,6.032235294117648,0.11764705882352941,0.7529411764705882
50,IND_Bill Polian,73.190625,241.425,31.821875,0.0,17.05,1.442,4.1585,29.7875,103.425,5.252000000000001,3.2317500000000003,0.11625,0.0,70.7165,64.96549999999999,69.66575,5.99125,0.1,0.8
51,IND_Chris Ballard,74.51093220338984,240.77966101694915,32.53406779661017,78.2907627118644,11.11864406779661,1.209322033898305,3.5323728813559323,27.228813559322035,94.1864406779661,3.434067796610169,2.380169491525424,2.9471186440677966,0.03389830508474576,77.56457627118645,70.9793220338983,74.19305084745763,6.046610169491525,0.11864406779661017,0.8135593220338984
52,IND_Chris Polian,73.33823529411765,251.8235294117647,32.661764705882355,23.058823529411764,17.941176470588236,1.4023529411764706,3.7111764705882355,27.5,86.70588235294117,5.039411764705882,3.076470588235294,0.28647058823529414,0.0,68.04352941176471,71.43117647058823,71.26,6.044117647058823,0.058823529411764705,0.8235294117647058
53,IND_Ryan Grigson,74.0725806451613,258.96774193548384,32.645161290322584,78.0524193548387,17.193548387096776,1.4164516129032256,4.078387096774194,24.838709677419356,84.09677419354838,5.194516129032258,3.1416129032258064,0.0,0.0,71.97548387096775,70.5125806451613,72.9767741935484,6.005483870967741,0.1935483870967742,0.7096774193548387
54,JAX_David Caldwell,73.90074074074074,238.27777777777777,32.44935185185185,77.77564814814815,11.796296296296296,1.2672222222222222,3.6575925925925925,25.064814814814813,85.35185185185185,4.126296296296296,2.4198148148148144,0.9661111111111111,0.0,72.70444444444445,73.13777777777779,74.47518518518518,6.116851851851852,0.09259259259259259,0.8148148148148148
55,JAX_Gene Smith,74.02777777777777,248.16666666666666,32.81944444444444,34.99305555555556,12.666666666666666,1.3077777777777777,3.7344444444444442,28.0,96.44444444444444,5.982777777777778,3.676666666666667,0.0,0.0,64.37,69.47555555555556,68.49722222222222,6.081111111111111,0.2777777777777778,0.5555555555555556
56,JAX_James Harris,73.4125,236.1,31.9625,0.0,15.7,1.09825,3.1635,24.425,70.2,3.7674999999999996,2.25325,0.22874999999999995,0.0,63.373749999999994,61.817499999999995,64.512,6.012,0.125,0.725
57,JAX_Trent Baalke,74.32083333333334,243.96666666666667,32.40416666666667,78.1875,7.066666666666666,0.971,2.8153333333333332,20.033333333333335,71.13333333333334,1.4723333333333335,0.7566666666666667,4.738333333333333,0.16666666666666666,71.488,67.889,70.128,6.062333333333333,0.06666666666666667,0.9333333333333333
58,KC_Brett Veach,73.639,242.0222222222222,32.21688888888889,77.35577777777779,9.28888888888889,1.0702222222222224,3.1146666666666665,24.81111111111111,84.93333333333334,2.4406666666666665,1.5799999999999998,3.366,0.13333333333333333,75.30222222222223,70.8348888888889,73.65955555555556,6.070666666666667,0.13333333333333333,0.7777777777777778
