player_name,nic_year,pro_pos,school,Actual_GM,Correct,top1_class,top1_prob,top2_class,top2_prob,top3_class,top3_prob,top4_class,top4_prob,top5_class,top5_prob
Chaun Thompson,2003,LB,West Texas A&M,CLE_Butch Davis,0,LA_Les Snead,0.044510297,KC_Brett Veach,0.03802078,BAL_Eric DeCosta,0.030013075,CIN_Mike Brown,0.028328812,NYJ_Joe Douglas,0.02756854
Marlon Mack,2017,RB,South Florida,IND_Chris Ballard,0,CLE_Andrew Berry,0.044508018,CHI_Ryan Poles,0.029209703,SF_John Lynch,0.027503679,CIN_Mike Brown,0.0274325,NO_Mickey Loomis,0.018064136
Christian Darrisaw,2021,T,Virginia Tech,MIN_Rick Spielman,0,CLE_Andrew Berry,0.04450325,KC_Brett Veach,0.03378639,HOU_Nick Caserio,0.025850398,NYJ_Joe Douglas,0.02479782,DAL_Jerry Jones,0.024685737
Stephen Schilling,2011,G,Michigan,LAC_AJ Smith,0,LV_Tom Telesco,0.04449357,LA_Les Snead,0.04354294,GB_Brian Gutekunst,0.036868352,BAL_Eric DeCosta,0.024956014,SF_John Lynch,0.018444316
David Pollack,2005,ED,Georgia,CIN_Mike Brown,0,PHI_Howie Roseman,0.044474456,CIN_Mike Brown,0.043737646,PIT_Omar Khan,0.027858315,LA_Les Snead,0.024026176,BAL_Eric DeCosta,0.02377172
Devin Singletary,2019,RB,Florida Atlantic,BUF_Brandon Beane,0,PHI_Howie Roseman,0.044472918,LA_Les Snead,0.028564515,BUF_Brandon Beane,0.027482418,SEA_John Schneider,0.021406263,HOU_Nick Caserio,0.020864017
Eddie Goldman,2015,DT,Florida State,CHI_Ryan Pace,0,HOU_Nick Caserio,0.044471096,DAL_Jerry Jones,0.033303555,TB_Jason Licht,0.03265141,KC_Brett Veach,0.029952992,TEN_Ran Carthon,0.026294814
Joseph Addai,2006,RB,LSU,IND_Bill Polian,0,LAC_Joe Hortiz,0.044468116,NYG_Joe Schoen,0.044421375,IND_Chris Ballard,0.038489364,NO_Mickey Loomis,0.032655414,CIN_Mike Brown,0.029413864
Ramses Barden,2009,WR,Cal Poly,NYG_Jerry Reese,0,BAL_Eric DeCosta,0.044459485,SF_John Lynch,0.03253877,CIN_Mike Brown,0.03223884,PHI_Howie Roseman,0.028917655,TEN_Ran Carthon,0.027962845
Osa Odighizuwa,2021,DT,UCLA,DAL_Jerry Jones,0,CLE_Andrew Berry,0.044451065,HOU_Nick Caserio,0.03990082,DAL_Jerry Jones,0.039521664,KC_Brett Veach,0.039201062,ATL_Terry Fontenot,0.03105506
Orlando Scandrick,2008,CB,Boise State,DAL_Jerry Jones,0,BAL_Eric DeCosta,0.044411696,PHI_Howie Roseman,0.037356462,TB_Jason Licht,0.035672504,CIN_Mike Brown,0.034202024,SEA_John Schneider,0.027168775
Amara Darboh,2017,WR,Michigan,SEA_John Schneider,0,IND_Chris Ballard,0.04440494,PHI_Howie Roseman,0.027202094,CHI_Ryan Poles,0.02490205,CIN_Mike Brown,0.024888411,SEA_John Schneider,0.019618263
Aaron Banks,2021,G,Notre Dame,SF_John Lynch,0,DEN_George Paton,0.044404432,BAL_Eric DeCosta,0.043472663,KC_Brett Veach,0.033781953,CLE_Andrew Berry,0.029883774,NYJ_Joe Douglas,0.027387058
Roderick Green,2004,ED,Central Missouri,BAL_Ozzie Newsome,0,WAS_Adam Peters,0.044345982,BAL_Eric DeCosta,0.03572088,PHI_Howie Roseman,0.03012591,MIA_Chris Grier,0.027268196,NO_Mickey Loomis,0.024643634
Malik Jefferson,2018,LB,Texas,CIN_Mike Brown,0,BUF_Brandon Beane,0.044335946,NO_Mickey Loomis,0.04380541,CIN_Mike Brown,0.029634,PHI_Howie Roseman,0.024880795,IND_Chris Ballard,0.023154354
Chimdi Chekwa,2011,CB,Ohio State,LV_Hue Jackson,0,SF_John Lynch,0.044322606,SEA_John Schneider,0.038222827,CIN_Mike Brown,0.029931057,JAX_Trent Baalke,0.024369556,PHI_Howie Roseman,0.022338882
Kliff Kingsbury,2003,QB,Texas Tech,NE_Bill Belichick,0,SF_John Lynch,0.04431961,BAL_Eric DeCosta,0.03269782,PHI_Howie Roseman,0.029450273,GB_Brian Gutekunst,0.025710156,LA_Les Snead,0.022140002
Clive Walford,2015,TE,Miami (FL),LV_Reggie McKenzie,0,BUF_Brandon Beane,0.044316996,DAL_Jerry Jones,0.029452031,CHI_Ryan Poles,0.028846746,BAL_Eric DeCosta,0.025324142,CIN_Mike Brown,0.023962995
Keith Wenning,2014,QB,Ball State,BAL_Ozzie Newsome,0,LA_Les Snead,0.044315677,GB_Brian Gutekunst,0.03247827,DAL_Jerry Jones,0.032229893,SF_John Lynch,0.030812927,CIN_Mike Brown,0.023591297
Carlos Watkins,2017,DT,Clemson,HOU_Rick Smith,0,DAL_Jerry Jones,0.04430677,SEA_John Schneider,0.027983386,NYJ_Joe Douglas,0.02700185,BAL_Eric DeCosta,0.023840314,KC_Brett Veach,0.021268306
Harry Douglas,2008,WR,Louisville,ATL_Thomas Dimitroff,0,BAL_Eric DeCosta,0.044304505,PHI_Howie Roseman,0.026967533,CIN_Mike Brown,0.024653956,SEA_John Schneider,0.023951668,CHI_Ryan Poles,0.021682154
Emeke Egbule,2019,LB,Houston,LAC_Tom Telesco,0,LA_Les Snead,0.04429774,HOU_Nick Caserio,0.030033987,NO_Mickey Loomis,0.02703425,SEA_John Schneider,0.021411994,SF_John Lynch,0.018713716
Michael Oher,2009,T,Ole Miss,BAL_Ozzie Newsome,0,NYG_Joe Schoen,0.04428616,BUF_Brandon Beane,0.041827254,MIA_Chris Grier,0.031030992,BAL_Eric DeCosta,0.027779728,PHI_Howie Roseman,0.024866758
Stefon Diggs,2015,WR,Maryland,MIN_Rick Spielman,0,CIN_Mike Brown,0.04426908,SEA_John Schneider,0.038356956,TB_Jason Licht,0.025295211,SF_John Lynch,0.025153901,CHI_Ryan Poles,0.022056399
N'Keal Harry,2019,WR,Arizona State,NE_Bill Belichick,0,IND_Chris Ballard,0.0442641,BUF_Brandon Beane,0.037914407,NO_Mickey Loomis,0.03771979,CIN_Mike Brown,0.024571568,LA_Les Snead,0.022401422
Hunter Henry,2016,TE,Arkansas,LAC_Tom Telesco,0,HOU_Nick Caserio,0.04424902,BAL_Eric DeCosta,0.032013718,NYJ_Joe Douglas,0.02844321,DAL_Jerry Jones,0.028034562,DEN_George Paton,0.023490798
Carson Wentz,2016,QB,North Dakota State,PHI_Howie Roseman,0,SF_John Lynch,0.04424874,DAL_Jerry Jones,0.027089413,IND_Chris Ballard,0.02587242,BUF_Brandon Beane,0.022094978,BAL_Eric DeCosta,0.0187773
Sam Williams,2022,ED,Ole Miss,DAL_Jerry Jones,1,DAL_Jerry Jones,0.044246696,IND_Chris Ballard,0.04188952,PIT_Omar Khan,0.0402415,CAR_Scott Fitterer,0.03797619,SEA_John Schneider,0.024703836
