label,ht_in,wt,arm_in,wing_in,c_reps,c_10y,c_40y,c_vj_in,c_bj_in,c_3c,c_ss20,est_40y,underclassman,athleticism_score,production_score,final_score,imp_grade,posi_CB,posi_DB,posi_DC,posi_DE,posi_DL,posi_DT,posi_EDGE,posi_FB,posi_FS,posi_G,posi_IB,posi_K,posi_LB,posi_LS,posi_NT,posi_OB,posi_OC,posi_OG,posi_OH,posi_OL,posi_OT,posi_P,posi_QB,posi_RB,posi_S,posi_SAF,posi_SS,posi_ST,posi_T,posi_TE,posi_WO,posi_WR,conf_Group of 5,conf_Power 5
LA_Billy Devaney,74.42105263157895,241.94736842105263,32.83552631578947,20.29605263157895,20.526315789473685,1.4221052631578948,4.0531578947368425,26.342105263157894,84.6842105263158,5.604210526315789,3.416315789473684,0.2521052631578947,0.0,62.77736842105263,67.5221052631579,67.38947368421053,6.021578947368421,0.0,0.15789473684210525,0.0,0.0,0.21052631578947367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.21052631578947367,0.0,0.21052631578947367,0.7368421052631579
LA_Jay Zygmunt,73.56510416666667,248.8125,31.822916666666668,0.0,14.958333333333334,1.3772916666666666,3.9629166666666666,25.302083333333332,83.64583333333333,5.001041666666667,3.0502083333333334,0.19541666666666666,0.0,70.169375,64.95937500000001,69.18041666666666,5.990833333333334,0.020833333333333332,0.0625,0.0625,0.0,0.125,0.020833333333333332,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.020833333333333332,0.020833333333333332,0.10416666666666667,0.0,0.020833333333333332,0.041666666666666664,0.020833333333333332,0.041666666666666664,0.0,0.0,0.0,0.020833333333333332,0.08333333333333333,0.125,0.0,0.14583333333333334,0.7708333333333334
LA_Les Snead,73.5175,242.29787234042553,32.303244680851066,77.40574468085107,12.691489361702128,1.2521276595744681,3.6176595744680853,25.143617021276597,87.22340425531915,3.61531914893617,2.673085106382979,2.1172340425531915,0.010638297872340425,68.25946808510639,68.83297872340425,70.31468085106383,5.9477659574468085,0.05319148936170213,0.0851063829787234,0.0,0.05319148936170213,0.0425531914893617,0.05319148936170213,0.010638297872340425,0.010638297872340425,0.0,0.031914893617021274,0.0,0.010638297872340425,0.11702127659574468,0.0,0.0,0.0,0.0,0.0,0.0,0.06382978723404255,0.010638297872340425,0.0,0.031914893617021274,0.10638297872340426,0.05319148936170213,0.010638297872340425,0.0,0.0,0.05319148936170213,0.05319148936170213,0.11702127659574468,0.010638297872340425,0.0851063829787234,0.8085106382978723
LV_Al Davis,75.035,247.6,32.84,0.0,15.48,1.3497999999999999,3.8648000000000002,27.37,93.04,4.8044,3.1598,0.0924,0.0,73.7076,69.1334,73.3806,6.055,0.04,0.08,0.02,0.08,0.1,0.02,0.0,0.0,0.02,0.0,0.02,0.0,0.08,0.0,0.0,0.0,0.02,0.0,0.02,0.1,0.04,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.02,0.04,0.22,0.0,0.14,0.7
LV_Dave Ziegler,74.22115384615384,259.46153846153845,32.625,78.17307692307692,7.076923076923077,1.28,3.7161538461538464,25.73076923076923,89.3076923076923,2.443076923076923,0.7315384615384615,4.806923076923077,0.0,68.59538461538462,71.46692307692307,70.96923076923078,6.031538461538461,0.07692307692307693,0.0,0.0,0.0,0.0,0.3076923076923077,0.07692307692307693,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.9230769230769231
LV_Hue Jackson,73.575,239.8,32.95,77.85,15.4,1.6760000000000002,4.796,32.3,113.6,5.906000000000001,3.524,0.0,0.0,69.708,63.31,67.204,5.862,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.8
LV_Mike Mayock,73.38095238095238,229.57142857142858,31.952380952380953,77.29166666666667,6.523809523809524,0.7376190476190476,2.1761904761904765,15.166666666666666,57.476190476190474,2.045238095238095,1.2266666666666668,3.150952380952381,0.0,75.43380952380951,71.99380952380953,75.14714285714285,6.172380952380952,0.19047619047619047,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.23809523809523808,0.0,0.0,0.0,0.047619047619047616,0.047619047619047616,0.19047619047619047,0.0,0.14285714285714285,0.8571428571428571
LV_Reggie McKenzie,74.71479591836734,253.3673469387755,32.71969387755102,78.46448979591837,13.877551020408163,1.2722448979591838,3.6651020408163264,25.612244897959183,93.95918367346938,4.936530612244898,3.154489795918367,0.1920408163265306,0.0,68.06734693877551,67.93285714285715,69.15612244897959,5.979591836734694,0.02040816326530612,0.14285714285714285,0.0,0.04081632653061224,0.10204081632653061,0.08163265306122448,0.0,0.0,0.0,0.0,0.0,0.0,0.1836734693877551,0.0,0.0,0.0,0.0,0.0,0.0,0.08163265306122448,0.0,0.02040816326530612,0.061224489795918366,0.04081632653061224,0.02040816326530612,0.0,0.0,0.0,0.08163265306122448,0.061224489795918366,0.061224489795918366,0.0,0.1836734693877551,0.7346938775510204
LV_Tom Telesco,73.69642857142857,242.71428571428572,32.30357142857143,77.76785714285714,11.714285714285714,0.9028571428571429,2.6485714285714286,28.642857142857142,99.14285714285714,1.9942857142857144,1.8014285714285714,4.695714285714286,0.2857142857142857,78.84571428571428,75.13285714285713,77.32142857142857,6.055714285714286,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.8571428571428571
MIA_Chris Grier,74.09707547169812,244.8679245283019,32.210283018867926,77.62037735849057,11.264150943396226,1.140754716981132,3.309433962264151,25.764150943396228,87.35849056603773,3.5824528301886795,2.083584905660377,2.679056603773585,0.05660377358490566,71.33754716981132,73.02905660377358,73.5088679245283,6.10377358490566,0.05660377358490566,0.018867924528301886,0.0,0.11320754716981132,0.0,0.07547169811320754,0.0,0.0,0.0,0.05660377358490566,0.0,0.0,0.07547169811320754,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.0,0.018867924528301886,0.0,0.07547169811320754,0.09433962264150944,0.07547169811320754,0.0,0.0,0.0,0.11320754716981132,0.07547169811320754,0.11320754716981132,0.018867924528301886,0.09433962264150944,0.8867924528301887
MIA_Dennis Hickey,74.53125,247.58333333333334,32.666666666666664,78.20833333333333,20.25,1.6891666666666667,4.818333333333333,32.958333333333336,114.08333333333333,6.114999999999999,3.605,0.0,0.0,68.89083333333333,67.40166666666667,71.15083333333332,6.029166666666666,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.3333333333333333,0.0,0.25,0.5833333333333334
MIA_Eddie Jones,74.21875,268.3333333333333,31.84375,0.0,19.75,1.3091666666666668,3.7616666666666667,21.125,81.25,5.083333333333333,2.983333333333333,0.0,0.0,68.74416666666666,65.91916666666667,70.06833333333334,5.9383333333333335,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.08333333333333333,0.25,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.16666666666666666,0.6666666666666666
MIA_Jerr Ireland,74.7,249.2,32.803125,34.890625,12.675,1.2515,3.47675,24.85,83.55,5.05675,2.99575,0.22999999999999998,0.0,68.94725,66.33,69.8725,6.05075,0.0,0.125,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.075,0.1,0.0,0.0,0.0,0.0,0.0,0.075,0.125,0.0,0.15,0.725
