ID,Last_Season,predicted_value,min_value,mean_value,max_value,Seasons,Attempts,ForcedMissedTackleRate,ExplosiveRate,TDP,YardsAfterContact,YPRR,WAR,RushWAR,RecWAR,best_Attempts,best_ForcedMissedTackleRate,best_ExplosiveRate,best_TDP,best_YardsAfterContact,best_YPRR,best_WAR,best_RushWAR,best_RecWAR,worst_Attempts,worst_ForcedMissedTackleRate,worst_ExplosiveRate,worst_TDP,worst_YardsAfterContact,worst_YPRR,worst_WAR,worst_RushWAR,worst_RecWAR,Strength_Power 5,ht_in,wt,arm_in,wing_in,c_reps,c_10y,c_40y,c_vj_in,c_bj_in,c_3c,c_ss20,est_40y
Kyson Brown - 176525,2024,13.88,6.43,13.57,18.58,1,0.463004993,0.906491148,0.324103495,0.251021335,0.777122106,0.954070032,0.897538925,0.906905055,0.855117139,0.373127553,0.807989106,0.227871085,0.189741262,0.598729006,0.898497952,0.761565836,0.782690499,0.686735654,0.676804358,0.943713118,0.517930095,0.481162052,0.864729914,0.968138371,0.953228266,0.782690499,0.686735654,1,69.575,201.4,30.575,74.65,18,1.516,4.44,34.8,120.6,7.12,4.258,4.466
JaQuinden Jackson - 123119,2024,13.6,8.97,13.55,18.23,3,0.79845665,0.849296414,0.697231049,0.935088516,0.874716296,0.262846749,0.70467102,0.408138101,0.650431566,0.76895143,0.880163414,0.742623695,0.965955515,0.884248752,0.384160218,0.722419929,0.565380997,0.658513641,0.716749887,0.763050386,0.606899682,0.429414435,0.846572855,0.286299499,0.590238943,0.565380997,0.658513641,1,73.5,229,33,79.375,18.8,1.6,4.532,32,119,7.19,4.36,4.57
Deion Hankins - 97310,2024,13.53,8.66,12.96,17.82,5,0.759418974,0.617793917,0.331820245,0.523377213,0.8061734,0.281946339,0.740833752,0.613440197,0.63810111,0.759872901,0.814798003,0.428960508,0.762142533,0.741715842,0.635867091,0.819522115,0.565380997,0.658513641,0.58919655,0.621425329,0.403540626,0.372673627,0.697684975,0.023668639,0.657346213,0.565380997,0.658513641,0,72.75,229.8,31.45,75.725,19.4,1.574,4.572,32.6,119,7.036,4.31,4.574
Tre Wisner - 176190,2024,13.48,11.61,14.75,18.32,1,0.975487971,0.738992283,0.412619156,0.18610985,0.603268271,0.733515234,0.958312406,0.868064118,0.946362515,0.913300045,0.597821153,0.290512937,0.142986836,0.438039038,0.550295858,0.87544484,0.725305738,0.846660395,0.98592828,0.837948252,0.615070359,0.382206083,0.756241489,0.829767865,0.982714794,0.725305738,0.846660395,1,69.7,209.8,31.175,75.1,16.4,1.548,4.542,34.9,120.2,7.088,4.278,4.506
Pat Garwo - 97120,2024,13.02,1.88,10.49,14.99,5,0.633681344,0.519745801,0.211075806,0.334543804,0.417612347,0.276944065,0.131592165,0.179408138,0.239827374,0.879709487,0.893327281,0.335451657,0.879255561,0.520653654,0.501137915,0.502796136,0.565380997,0.658513641,0.176577394,0.23104857,0.099409896,0,0.350885157,0.243969049,0.014234875,0.565380997,0.658513641,1,71.2,212,30.625,74.475,18.6,1.544,4.568,35.4,121.2,7.072,4.25,4.544
Lincoln Pare - 121537,2024,13.02,11.91,15.11,19.52,4,0.718111666,0.722650931,0.508851566,0.362687245,0.781661371,0.810823101,0.935710698,0.901972873,0.910604192,0.802088062,0.695415343,0.565592374,0.853381752,0.892419428,0.801547565,0.874936451,0.879586077,0.851364064,0.669541534,0.665910123,0.425783023,0.210167953,0.614616432,0.721893491,0.953736655,0.879586077,0.851364064,0,69.1,202.2,30.425,72.926,15.4,1.55,4.546,34.9,121.2,6.986,4.296,4.472
Keyjuan Brown - 174695,2024,12.98,9.27,11.7,12.98,1,0.24648207,0.946436677,0.682251475,0.82932365,0.896504766,0.725329695,0.639879458,0.511097411,0.627003699,0.21561507,0.87290059,0.496141625,0.625056741,0.760326827,0.537551206,0.439755974,0.565380997,0.658513641,0.431684067,0.967771221,0.806627326,0.88833409,0.936450295,0.824761038,0.807320793,0.565380997,0.658513641,1,71.1,214.4,31.15,76.15,19.4,1.538,4.536,35.1,122.6,7.062,4.236,4.45
Kaelon Black - 138448,2024,12.98,9.18,12.27,15.32,3,0.572401271,0.722197004,0.805719473,0.305946437,0.833408988,0.828103683,0.358111502,0.922934649,0.859432799,0.713572401,0.846572855,0.825692238,0.372673627,0.805719473,0.946745562,0.665988815,0.565380997,0.658513641,0.414434862,0.519291875,0.785746709,0.200181571,0.729913754,0.184342285,0.527707168,0.565380997,0.658513641,0,69.825,208.6,30.9,74.325,18.2,1.558,4.568,35,121.2,7.016,4.212,4.484
Antario Brown - 145868,2024,12.91,7.13,12.84,16.93,4,0.798910576,0.576032683,0.701770313,0.676804358,0.714026328,0.648931332,0.844801607,0.768187423,0.809494451,0.891057649,0.62641852,0.690876078,0.61870177,0.733091239,0.974965863,0.870869344,0.565380997,0.658513641,0.729913754,0.5814798,0.67135724,0.612800726,0.756241489,0.023668639,0.738688358,0.565380997,0.658513641,0,70.7,216,31.126,74.576,14.4,1.56,4.602,33.6,116.8,7.122,4.288,4.552
Jaydn Ott - 158325,2024,12.64,9.6,14.19,19.61,3,0.921470722,0.714934181,0.456650023,0.539264639,0.46345892,0.681218736,0.978402813,0.932799014,0.972256473,0.942805266,0.896958693,0.619155697,0.437131185,0.591466182,0.586253983,0.963396035,0.909689558,0.947318909,0.868361325,0.244212438,0.251021335,0.600544712,0.086699955,0.715521165,0.911032028,0.909689558,0.947318909,1,70,207.6,30.525,73.85,17.2,1.554,4.506,35.1,120,7.012,4.298,4.474
Phil Mafah - 144123,2024,12.25,6.41,11.72,14.77,4,0.835224694,0.609169315,0.431230141,0.632319564,0.817521562,0.354251933,0.198392767,0.18865598,0.286066584,0.898774399,0.550612801,0.378120744,0.736268724,0.720381298,0.616294948,0.724453482,0.705550329,0.602069614,0.641398094,0.464366773,0.460735361,0.656377667,0.813436223,0.325898953,0.00305033,0.705550329,0.602069614,1,72.625,234,31.375,77.625,21.6,1.596,4.648,32.7,118.2,7.11,4.25,4.56
Jalen White - 122464,2024,11.97,6.77,11.21,14.72,4,0.82932365,0.888788016,0.667271902,0.789378121,0.817067635,0.308776717,0.32345555,0.186806412,0.388409371,0.781661371,0.955969133,0.84975034,0.803903768,0.791647753,0.419208011,0.852567361,0.615239887,0.796801505,0.635043123,0.647299138,0.570131639,0.746709033,0.796187018,0.286299499,0.02236909,0.615239887,0.796801505,0,69.925,207,30.15,73.626,17.2,1.542,4.554,34.5,123,7.16,4.226,4.524
Rahjai Harris - 123814,2024,11.87,9.22,13.24,18.33,5,0.830231502,0.61098502,0.322287789,0.572401271,0.391738538,0.276944065,0.49924661,0.500616523,0.498766954,0.877893781,0.770767136,0.37993645,0.778029959,0.749886518,0.369594902,0.815963396,0.527751646,0.746942615,0.617793917,0.472083522,0.36586473,0.413527009,0.192010894,0.300864816,0.120996441,0.527751646,0.746942615,0,72.425,234.6,31.7,75.675,18.4,1.544,4.526,32.6,119.6,7.082,4.3,4.59
Cade Yacamelli - 158712,2024,11.59,1.26,9.16,13.78,2,0.123014072,0.68679074,0.944620971,0.289151158,0.857921017,0.615279673,0.356102461,0.511097411,0.627003699,0.123921925,0.550612801,0.982296868,0.586926918,0.74580118,0.653618571,0.264361973,0.565380997,0.658513641,0.197911938,0.794825238,0.752610077,0,0.890149796,0.507965407,0.546517539,0.565380997,0.658513641,1,71.6,217.8,30.6,74.4,21.6,1.538,4.576,35,122.4,7.104,4.274,4.542
