ID,Last_Season,target,predicted_value,Diff,min_value,mean_value,max_value,Seasons,Attempts,ForcedMissedTackleRate,ExplosiveRate,TDP,YardsAfterContact,YPRR,WAR,RushWAR,RecWAR,best_Attempts,best_ForcedMissedTackleRate,best_ExplosiveRate,best_TDP,best_YardsAfterContact,best_YPRR,best_WAR,best_RushWAR,best_RecWAR,worst_Attempts,worst_ForcedMissedTackleRate,worst_ExplosiveRate,worst_TDP,worst_YardsAfterContact,worst_YPRR,worst_WAR,worst_RushWAR,worst_RecWAR,Strength_Power 5,ht_in,wt,arm_in,wing_in,c_reps,c_10y,c_40y,c_vj_in,c_bj_in,c_3c,c_ss20,est_40y
Samaje Perine - 11869,2016,32.88,41.21,8.33,36.53,39.8,41.37,3,0.97684975,0.651384476,0.842033591,0.887426237,0.809350885,0.518872215,0.944751381,0.770653514,0.907521578,0.961416251,0.70086246,0.76895143,0.82024512,0.70222424,0.565771507,0.886120996,0.666039511,0.83537159,0.975941897,0.54561961,0.801180209,0.874716296,0.817975488,0.513427401,0.966954753,0.666039511,0.83537159,1,70.63,233,30.38,74.25,30,1.54,4.65,33,116,7.26,4.37,4.53
Leonard Fournette - 11759,2016,41.34,40.89,-0.45,39.62,41.25,43.08,3,0.960962324,0.61870177,0.760326827,0.823422606,0.479800272,0.906775807,0.875439478,0.443279901,0.800246609,0.986382206,0.778937812,0.837494326,0.743531548,0.713572401,0.868456987,0.935434672,0.595484478,0.90028222,0.895596913,0.53654108,0.641398094,0.817975488,0.211529732,0.903504779,0.399084901,0.595484478,0.90028222,1,72.5,240,31.63,75.25,22.2,1.53,4.51,28.5,113.6,7.138,4.302,4.518
Jordan Howard - 10784,2015,46.81,40.65,-6.16,36.23,40.13,43.45,2,0.989105765,0.545165683,0.833862914,0.558329551,0.758511121,0.55161437,0.909593169,0.458692972,0.825524044,0.990013618,0.472537449,0.721743078,0.400363141,0.728551975,0.523441056,0.850025419,0.492944497,0.773283161,0.975941897,0.625964594,0.874716296,0.727644122,0.729913754,0.58306782,0.920691408,0.492944497,0.773283161,0,71.875,230,32.25,75.625,16,1.574,4.556,34,122,6.992,4.254,4.536
Sony Michel - 27589,2017,46.79,39.78,-7.01,34.17,39.38,43.91,4,0.861098502,0.78438493,0.861098502,0.796640944,0.66500227,0.879490678,0.91059769,0.749075216,0.886559803,0.901951884,0.8061734,0.890603722,0.934180663,0.837948252,0.965407374,0.916624301,0.565380997,0.658513641,0.608261462,0.758965048,0.733999092,0.455288243,0.240127099,0.498862085,0.669547534,0.565380997,0.658513641,1,70.625,214,31.25,73.625,22,1.53,4.54,34.7,122.8,7.124,4.21,4.472
Jonathon Brooks - 144721,2023,3.01,39.49,36.48,35.81,40.45,44.32,2,0.706309578,0.918293236,0.670903314,0.985474353,0.975941897,0.864483856,0.950778503,0.947595561,0.988902589,0.833408988,0.931457104,0.624602814,0.992737177,0.97684975,0.756030951,0.968479919,0.565380997,0.658513641,0.130730822,0.848842488,0.685428961,0.821152973,0.952337721,0.900318616,0.752414845,0.565380997,0.658513641,1,72.375,216,31.5,75.875,18,1.564,4.448,36.6,124.6,7.138,4.254,4.49
Kimani Vidal - 123727,2023,4.07,39.39,35.32,31.34,37.58,42.91,4,0.950522015,0.927371766,0.610531094,0.496595552,0.845211076,0.568894952,0.894023104,0.357583231,0.842786683,0.985020427,0.911938266,0.574670903,0.420789832,0.778937812,0.679563041,0.952719878,0.94261524,0.920037629,0.819791194,0.908306854,0.655015887,0.572401271,0.840671811,0.58306782,0.09252669,0.94261524,0.920037629,0,67.875,213,30.375,73.25,18,1.53,4.46,37.5,120,7.01,4.15,4.58
Khalil Herbert - 41668,2020,44.44,39.36,-5.08,36.42,38.96,41.19,5,0.603722197,0.698592828,0.727644122,0.656377667,0.873354517,0.400181901,0.476644902,0.467324291,0.47595561,0.681797549,0.945074898,0.987743985,0.675896505,0.982296868,0.822940373,0.793085918,0.565380997,0.658513641,0.350885157,0.128461189,0.177939174,0.578756241,0.411711303,0.021392808,0.114387392,0.565380997,0.658513641,1,68.875,210,31.25,73.875,21.6,1.538,4.462,35.4,121.8,7.074,4.292,4.48
Michael Carter - 57337,2020,28.24,38.92,10.68,33.07,38.39,42.46,4,0.798002724,0.906037222,0.937358148,0.57376305,0.892419428,0.790359254,0.936212958,0.803329223,0.904438964,0.808896959,0.871538811,0.969586927,0.837040399,0.925102133,0.871187984,0.973055414,0.953904045,0.960489182,0.760780754,0.908760781,0.784838856,0.298229687,0.813436223,0.766499772,0.294356889,0.953904045,0.960489182,1,69.625,184,29.125,72.75,15.6,1.56,4.51,35.4,118,6.944,4.238,4.52
AJ Dillon - 57165,2019,46.51,38.4,-8.11,25.34,35.11,39.11,3,0.995460735,0.653654108,0.366318656,0.574670903,0.825692238,0.411095953,0.85334003,0.294081381,0.779901356,0.993191103,0.607807535,0.35814798,0.412619156,0.791647753,0.765134274,0.831215048,0.340545626,0.765757291,0.98592828,0.70222424,0.493418066,0.738992283,0.79210168,0.023668639,0.550584647,0.340545626,0.765757291,1,72.375,247,31.625,77.625,23,1.53,4.53,41,131,7.19,4.28,4.54
Tyrone Tracy - 84226,2023,32.24,38.24,6,30.25,37.51,42.48,1,0.732637313,0.986836133,0.963685883,0.883794825,0.974126192,0.718053661,0.951280763,0.914919852,0.922318126,0.58284158,0.94734453,0.898774399,0.703132093,0.919655016,0.53117888,0.865277072,0.799623706,0.802445908,0.862914208,0.990467544,0.970040853,0.918747163,0.981842941,0.820664543,0.980172852,0.799623706,0.802445908,1,71.125,209,31.75,76.625,18.6,1.53,4.48,40,124,6.81,4.06,4.54
