ID,Last_Season,predicted_value,min_value,mean_value,max_value,Seasons,ContestedTile,Value,TotalNonSepSeasons,NonSepPercent,Slot_rate,best_Slot_rate,worst_Slot_rate,RR,TPRR,YPRR,TDPRR,ADOT,YAC,best_RR,best_TPRR,best_YPRR,best_TDPRR,best_ADOT,best_YAC,worst_RR,worst_TPRR,worst_YPRR,worst_TDPRR,worst_ADOT,worst_YAC,Strength_Power 5,Filter_NonSeparator,Filter_Solid,Filter_Gadget,ht_in,wt,arm_in,wing_in,c_reps,c_10y,c_40y,c_vj_in,c_bj_in,c_3c,c_ss20,est_40y,WAR,athleticism_score
JaMori Maclin - 124211,2024,38.28,27.93,40.4,52.92,3,37.62,48.52,2,0.67,0.513601153,0.714400385,0.247471504,0.942893172,0.51143938,0.80003603,0.890650333,0.926319582,0.654476671,0.988842511,0.682453042,0.864183657,0.876625462,0.966126184,0.730935945,0.53547921,0.075774603,0.462995665,0.674265532,0.860250441,0.446139027,1,1,0,0,74.825,207.8,31.9,77.325,15.2,1.51,4.406,36.7,125.4,7.044,4.32,4.49,0.463606117,82.078
Nick Nash - 98679,2024,37.74,27.9,39.44,56.21,2,18.44,70.77,1,0.5,0.646550171,0.868518221,0.256140633,0.991533057,0.930282832,0.893532697,0.950099081,0.846694289,0.309673933,0.992133569,0.97816664,0.933857762,0.955289774,0.899100979,0.391234548,0.946540376,0.56277091,0.687349494,0.836249799,0.684620324,0.265853267,0,0,1,0,74.5,203,31,76.5,15.2,1.54,4.57,34,123,7.076,4.394,4.58,0.788259971,65.73
Andrew Armstrong - 160110,2024,36.77,25.5,40.99,59.13,2,27.79,89,1,0.5,0.287335615,0.376224113,0.274923744,0.968834444,0.886506936,0.93046298,0.499909926,0.606016934,0.656278148,0.942366351,0.931208862,0.943249318,0.709022315,0.627709103,0.644405201,0.898218013,0.678198748,0.807432975,0.375742495,0.536041098,0.613260555,1,0,1,0,75.75,202,32.125,79.5,11,1.53,4.51,37.5,124,6.97,4.18,4.53,0.998014052,72.9
Dante Wright - 97188,2024,36.75,31.54,38.72,49.76,5,44.24,72.14,0,0,0.64114574,0.722186547,0.080671055,0.858403891,0.82921996,0.926319582,0.689965772,0.369122681,0.783642587,0.960748114,0.985310644,0.982340665,0.902392037,0.496066784,0.947262803,0.343875421,0.489886017,0.509792904,0,0.220661422,0.465082678,0,0,1,0,73.425,196.2,30.9,75.025,17,1.524,4.408,37.5,128.2,6.988,4.212,4.428,0.65021492,71.006
Elic Ayomanor - 157263,2024,36.73,32.19,37.39,44.08,2,11.93,73.45,2,1,0.336696091,0.386177557,0.367795794,0.986128625,0.854800937,0.865069357,0.743829941,0.788326428,0.477031166,0.966607802,0.821640713,0.872371167,0.712233103,0.758147375,0.586611013,0.965323487,0.802135174,0.738722106,0.708942045,0.750842832,0.377588698,1,1,0,0,73.75,206,32.375,78.375,19.2,1.58,4.44,38.5,127,7,4.336,4.42,0.965569333,79.5
Makai Lemon - 174150,2024,36.38,30.43,39.86,51.06,1,32.73,97.97,0,0,0.764006485,0.777893723,0.686466528,0.527832823,0.881642947,0.942172582,0.606377229,0.186272744,0.917492344,0.716728207,0.877428159,0.960908653,0.658853749,0.368999839,0.90704768,0.158051052,0.49189276,0.79499117,0,0.093915556,0.845240006,1,0,1,0,73.825,203.8,31.375,75.6,13,1.508,4.416,38.6,127.2,7.056,4.286,4.476,0.781853689,76.56
Konata Mumpfield - 145598,2024,35.95,26.26,36.66,52.45,4,39.67,81.36,1,0.25,0.622230229,0.727564617,0.557713919,0.971896956,0.710502612,0.704557737,0.68852459,0.39128085,0.471806882,0.972066142,0.817787767,0.727644887,0.806309199,0.666960989,0.564617114,0.862819072,0.521191202,0.624979933,0.381762723,0.185503291,0.310483224,1,0,1,0,71.375,186,29.375,74.375,14.8,1.54,4.59,36,124,7.086,4.264,4.48,0.918865468,62.11
Cam Camper - 156414,2024,35.61,30.98,43.24,57.13,3,17.41,69.82,2,0.67,0.391100703,0.527693049,0.328303098,0.826337597,0.873356152,0.884165015,0.546928481,0.791749234,0.374346965,0.890271312,0.89059239,0.909375502,0.633488521,0.9181249,0.446139027,0.454727886,0.728768663,0.707416921,0.479210146,0.448226039,0.295633328,0,1,0,0,74.875,211.8,31.8,77.55,16.4,1.522,4.514,37.3,127.8,6.89,4.292,4.506,0.787640008,80.1
Ted Hurst - 187922,2024,35.51,33.46,40.31,55.25,1,11.53,83.65,1,1,0.417762565,0.458741371,0.458741371,0.991172762,0.724734282,0.855521528,0.881102504,0.929742389,0.343721852,0.977524482,0.682453042,0.807432975,0.837373575,0.91258629,0.359768823,0.977524482,0.682453042,0.807432975,0.837373575,0.91258629,0.359768823,0,0,1,0,72.95,197.4,31.6,75.975,19,1.532,4.502,37.5,129,6.98,4.346,4.508,0.958129779,76.532
Logan Loya - 131801,2024,35.23,18.72,31.43,42.71,3,66.39,73.34,0,0,0.814627995,0.906325253,0.700754535,0.651234012,0.704197442,0.573770492,0.800396325,0.349666727,0.619528013,0.880317868,0.868678761,0.727644887,0.832316584,0.587574249,0.968935624,0.094397175,0.061968213,0.153796757,0,0.26769947,0.119762402,1,0,1,0,70.45,192,30.85,73.875,15.8,1.492,4.424,35.6,119.2,6.97,4.184,4.404,0.592351726,81.266
Jaylin Lane - 121811,2024,34.67,23.28,37.85,55.72,4,45.54,83.25,3,0.75,0.640064853,0.822122331,0.16383047,0.80003603,0.799495586,0.826517745,0.761844713,0.140154927,0.918933525,0.93979772,0.917723551,0.872371167,0.850136459,0.467410499,0.957858404,0.239203725,0.651629475,0.657489164,0.504575373,0.021271472,0.700433456,1,0,0,1,69.75,191,31.75,77.25,14,1.5,4.34,40,132,6.75,4.12,4.37,0.820704691,89.6
Elijhah Badger - 131603,2024,34.64,23,38.51,58.13,3,31.88,91.29,2,0.67,0.447667087,0.586209664,0.116872692,0.840569267,0.864709061,0.833003063,0.719149703,0.476490722,0.735002702,0.917402472,0.906325253,0.955610852,0.817787767,0.91523519,0.912827099,0.301091668,0.243538289,0.197624017,0,0.151468936,0.377588698,1,1,0,0,73.375,200,32.125,78.625,12.6,1.53,4.43,35.5,124.4,7.06,4.318,4.53,0.876707998,76.03
Jayce Brown - 173093,2024,34.43,12.86,30.67,46.99,2,62.29,76.32,0,0,0.648892092,0.733424306,0.537887301,0.843091335,0.706539362,0.911547469,0.77391461,0.749594668,0.602594127,0.895007224,0.76240167,0.882244341,0.775485632,0.764809761,0.700433456,0.583881843,0.608845722,0.85800289,0.713838497,0.666960989,0.446139027,1,0,1,0,69.575,189.4,30.5,73.4,17.4,1.496,4.42,37.2,122.2,6.97,4.192,4.43,0.698778673,79.44
Xavier Restrepo - 122220,2024,34.29,28.46,37.59,56.12,4,51.42,85.94,0,0,0.882543686,0.913790336,0.80887783,0.872815709,0.824355972,0.914249685,0.856782562,0.503152585,0.671050261,0.976240167,0.943249318,0.939235832,0.899903676,0.711350136,0.845240006,0.445095521,0.596724996,0.753491732,0.646572484,0.293947664,0.431931289,1,0,1,0,69.875,209,29.375,71.625,17,1.538,4.524,34.9,120.4,7.056,4.33,4.52,0.923205208,65.07
Jahmal Edrine - 145196,2024,34.13,11.96,29.46,46.75,2,9.51,49.79,2,1,0.332732841,0.414914111,0.320918285,0.892271663,0.537020357,0.609800036,0.729237975,0.765447667,0.499009188,0.853266977,0.62562209,0.661984267,0.810483224,0.780221544,0.700433456,0.755498475,0.38537486,0.479129876,0.505699149,0.675389308,0.27861615,1,1,0,0,75.5,212.8,33.625,79.975,18.6,1.496,4.428,35.6,124.2,7.03,4.3,4.54,0.512996487,68.586
KeAndre LambertSmith - 129789,2024,34.1,25.46,36.06,54.27,3,40.82,66.48,1,0.33,0.444604576,0.581714561,0.173141756,0.905422446,0.589623491,0.711943794,0.694649613,0.402269861,0.835164835,0.950313052,0.796034677,0.932573447,0.875100337,0.725798684,0.903194734,0.555386097,0.197945096,0.202440199,0,0.179964681,0.431931289,1,0,1,0,72.75,190,32.625,78.625,13.6,1.53,4.37,34.5,124,6.998,4.268,4.32,0.474558793,79.83
Omari Hayes - 156520,2024,33.93,28.77,37.83,50.65,1,63.3,94.25,0,0,0.807602234,0.763364906,0.763364906,0.745090975,0.838407494,0.947757161,0.729598271,0.382813907,0.908484958,0.66928881,0.796275486,0.919168406,0.695777813,0.388184299,0.874698989,0.66928881,0.796275486,0.919168406,0.695777813,0.388184299,0.874698989,0,0,1,0,70.15,191.2,30.2,72.2,13.4,1.524,4.418,37,125.4,6.882,4.206,4.386,0.867408555,73.84
