ID,Last_Season,target,predicted_value,Diff,min_value,mean_value,max_value,Seasons,ContestedTile,Value,TotalNonSepSeasons,NonSepPercent,Slot_rate,best_Slot_rate,worst_Slot_rate,RR,TPRR,YPRR,TDPRR,ADOT,YAC,best_RR,best_TPRR,best_YPRR,best_TDPRR,best_ADOT,best_YAC,worst_RR,worst_TPRR,worst_YPRR,worst_TDPRR,worst_ADOT,worst_YAC,Strength_Power 5,Filter_NonSeparator,Filter_Solid,Filter_Gadget,ht_in,wt,arm_in,wing_in,c_reps,c_10y,c_40y,c_vj_in,c_bj_in,c_3c,c_ss20,est_40y,WAR,athleticism_score
Jahan Dotson - 84375,2021,51.39,31.31,-20.08,25.92,34.09,48.36,4,54.1,82.17,0,0,0.409295622,0.552335848,0.219296837,0.921635741,0.747252747,0.84110971,0.870834084,0.687263556,0.733021077,0.9780061,0.944533633,0.923904319,0.919409215,0.807432975,0.854310483,0.427757264,0.118478086,0.430727244,0,0.496066784,0.329105795,1,0,1,0,70.625,178,30.75,74,15.6,1.55,4.43,36,121,7.28,4.344,4.41,0.83227733,67.45
Derius Davis - 78196,2022,36.16,31.28,-4.88,14.06,30.14,39.17,3,58.26,65.89,1,0.33,0.870834084,0.944052015,0.75124418,0.539542425,0.767429292,0.854981084,0.678076022,0.4110971,0.905242299,0.741932895,0.848531064,0.928640231,0.994381121,0.657729973,0.959303259,0.135816343,0.389067266,0.413710066,0,0.134210949,0.497832718,1,0,1,0,68.375,165,29.25,69,12.6,1.46,4.36,36.2,123.6,6.984,4.38,4.32,0.383424261,78.12
Keon Coleman - 144949,2023,68.72,30.64,-38.08,21.86,33.35,54.23,2,20.42,81.76,1,0.5,0.411457395,0.563252528,0.167282068,0.833363358,0.783462439,0.695550351,0.9328049,0.471626734,0.420284633,0.922058115,0.742093434,0.800850859,0.941403114,0.59849093,0.751003371,0.142558998,0.720019265,0.430727244,0.813051854,0.220661422,0.139187671,1,0,1,0,75.25,213,32.125,78.125,17.2,1.54,4.61,38,127,7.218,4.3,4.5,0.805205621,77.42
Josh Reynolds - 11872,2016,40.52,30.63,-9.89,24.3,33.36,47.74,3,100,54.08,0,0,0.046297964,0.104832236,0.0299406,0.986308773,0.543685822,0.864528914,0.926679877,0.758241758,0.784002882,0.970300209,0.648980575,0.872371167,0.945657409,0.794429282,0.886899984,0.962353508,0.386739445,0.74594638,0.646492214,0.607721946,0.548242093,1,0,1,0,74.88,194,31.5,76.5,13.2,1.57,4.52,37,124,6.83,4.13,4.444,0.96494937,67.77
Isaiah McKenzie - 11927,2016,33.04,30.3,-2.74,14.61,27.36,39.41,1,100,59.96,0,0,0.769591065,0.841226521,0.66663991,0.428391281,0.926860025,0.847775176,0.895874617,0.223923617,0.947396865,0.655482421,0.974955852,0.950553861,0.957216247,0.27861615,0.955610852,0.116712153,0.463557553,0.526489003,0,0.200433456,0.874698989,1,0,1,0,67.5,173,28.88,68.25,11,1.49,4.42,36,123,6.64,4.15,4.412,0.509690019,82.7
Tajae Sharpe - 10774,2015,37.77,30.07,-7.7,21.69,31.64,45.73,2,100,62.26,0,0,0.504593767,0.572965163,0.502889709,0.996757341,0.967393262,0.934786525,0.6640245,0.633399387,0.372005044,0.994862739,0.977765291,0.90423824,0.708219618,0.711350136,0.548242093,0.992615187,0.875581955,0.898699631,0.573928399,0.496066784,0.222347086,0,0,1,0,74,194,32.25,77.5,11,1.53,4.55,33.5,114,7.042,4.31,4.418,1.00855342,58.68
John Hightower - 84142,2019,32.15,29.74,-2.41,17.48,29.88,44.33,2,35.05,82.14,2,1,0.239056026,0.279418847,0.274923744,0.806701495,0.907944515,0.979823455,0.956764547,0.946135831,0.84507296,0.915957618,0.983384171,0.988922781,0.987799005,0.946139027,0.814576979,0.465885375,0.764247873,0.900224755,0.86057152,0.91523519,0.794188473,0,1,0,0,73.5,189,31.5,75.125,14.8,1.49,4.43,38.5,122,7.07,4.21,4.45,0.861622236,78.6
Jamarcus Nelson - 13391,2014,7.32,29.5,22.18,9.92,24.02,36.47,1,100,45.06,0,0,0.470005404,0.509150747,0.509150747,0.831922176,0.826517745,0.927580616,0.783102144,0.870293641,0.965051342,0.744421255,0.786643121,0.890271312,0.743779098,0.845962434,0.947262803,0.744421255,0.786643121,0.890271312,0.743779098,0.845962434,0.947262803,0,0,1,0,70.25,156,31.125,73,11.6,1.49,4.28,36,127,7.02,4.15,4.42,0.470632362,89.07
Darren Waller - 9637,2014,26.02,29.42,3.4,24.84,32.12,43.79,1,100,74.7,0,0,0.042154567,0.062128753,0.062128753,0.585840389,0.922176184,0.95334174,0.982885966,0.968834444,0.255989912,0.547921015,0.888184299,0.92631241,0.971263445,0.961149462,0.27861615,0.547921015,0.888184299,0.92631241,0.971263445,0.961149462,0.27861615,1,0,1,0,78.125,238,33.25,80.5,12,1.57,4.46,37,125,7.07,4.25,4.5,0.878567886,87.08
Jaelon Darden - 61522,2020,5.4,29.25,23.85,22.94,31.99,49.26,3,71.67,79.94,2,0.67,0.90037831,0.944052015,0.783432333,0.852098721,0.959286615,0.932985048,0.980003603,0.197081607,0.825076563,0.844838658,0.996628672,0.994702199,0.997752448,0.648258147,0.874698989,0.687590303,0.652672981,0.397254776,0.682212233,0.109728688,0.659656446,0,1,0,0,67.625,174,30.625,72.5,11.2,1.536,4.426,35.2,123,6.988,4.264,4.48,0.844676586,72.37
